"Street","City","Postal code"
"nám.Novomeského","Košice","040 01"
"Výstavby","Košice","040 11"
"Moldavská","Košice","040 11"
"TOMÁŠIKOVA","PREŠOV","080 01"
"Hanojská","Košice - Ťahanovce","040 13"
"Pavlovičovo námestie","Prešov","080 01"
"Bukureštská","Košice","040 13"
"Pekingská","Košice","040 13"
"TOLSTÉHO","KOŠICE","040 01"
"Popradská","Košice - Západ","040 11"
"Jenisejská","Košice","040 12"
"Južná trieda","Košice - Staré Mesto","040 01"
"Užhorodská","Košice - Kavečany","040 01"
"Postupimská","Košice","040 22"
"Gerlachovská","Košice","040 01"
"Turgenevova","Košice","040 11"
"Smreková","Prešov","080 01"
"Kavečianska cesta","Košice","040 01"
"Jasuschova","Košice","040 23"
"Čordákova","Košice","040 23"
"Južná trieda","Košice","040 01"
"Drábová","Košice","040 23"
"Ruskov","Ruskov","044 19"
"Bukovecká","Košice-Nad Jazerom","040 12"
"Uralská","Košice","040 12"
"Popradská","Košice - Západ","040 11"
"Ovručská","Košice","040 22"
"Obchodná","Košice","040 01"
"Popradská","Košice","040 01"
"Ruskov","Ruskov","044 19"
"Buzulucka","Košice","040 22"
"Haniska","Košice","044 57"
"Rosná","Košice","040 01"
"Považská","Košice","040 11"
"Lúčna","Košice - Šaca","040 15"
"Dvorníky-Včeláre","Dvorníky","044 02"
"Trieda SNP","Košice","040 11"
"Fintice","Fintice","082 16"
"Zlatá Idka","Zlatá Idka","044 61"
"Dénešová","Košice","040 23"
"Hrabová","Košice","040 22"
"Čordákova","Košice","040 23"
"Becherov","Becherov","086 35"
"Obrancov Mieru","Košice","040 01"
"Sokolovská","Košice","040 11"
"Hroncova","Košice","040 01"
"Slanské Nové Mesto","Slanské Nové Mesto","044 18"
"Štúrova","Batizovce","059 35"
"Šemšianaka","Košice - Šaca","040 15"
"Hruštín","Hruštín","029 52"
"Stálicová","Košice","040 12"
"Sokoľ","Sokoľ","044 31"
"Ladožská","Košice - Nad Jazerom","040 12"
"Mládežnícka","Banská Bystrica","974 04"
"Lomonosovova","Košice","040 01"
"Levočská","Košice I","040 12"
"Trieda SNP","Košice","040 01"
"Pokroku","Košice","040 11"
"Hemerkova","Košice","040 23"
"Veľký Folkmar","Veľký Folkmar","055 51"
"KAPUŠIANSKE KĽAČANY","KAPUŠIANSKE KĽAČANY","079 01"
"Starozagorská","Košice","040 23"
"Wuppertálska","Košice","040 23"
"Námesite L. Novomeského","Košice","040 01"
"Brigádnická","Košice","040 11"
"Nemcovej","Košice","040 01"
"Americká trieda","Košice","040 13"
"DÉNEŠOVA","Košice","040 23"
"Irkutská","Košice","040 12"
"Južná trieda","Košice","040 01"
"Južná trieda","Košice","040 01"
"JENISEJSKÁ","KOŠICE","040 12"
"Sputniková","Košice","040 12"
"Fándlyho","KOŠICE - BARCA","040 17"
"Rosná","Košice - Juh","040 01"
"P. JILEMNICKEHO","SPIŠSKÁ NOVÁ VES","052 05"
"HLINKOVA","KOŠICE","040 01"
"Bidovce","Bidovce","044 45"
"Popradská","Košice","040 11"
"STÁLICOVÁ","KOŠICE","040 12"
"BAUEROVA","KOŠICE","040 23"
"HRNČIARSKA","ROŽŇAVA","048 01"
"OBRODY","KOŠICE","040 11"
"ORECHOVÁ","BARDEJOV  -BARDEJOVSKÁ NOVÁ VES","085 01"
"Slovenskej Jednoty","Košice","040 01"
"REŠICA","REŠICA","044 73"
"LOVECKÁ","KOŠICE-KAVEČANY","040 01"
"čat. Nebiljaka","Svidník","089 01"
"ADLEROVA","KOŠICE","040 22"
"KREMNICKÁ","KOŠICE","040 11"
"BENIAKOVCE","BENIAKOVCE","044 42"
"KOCHANOVSKÁ","SEČOVCE","078 01"
"Federátov","Prešov","080 01"
"Šíd","Šíd","986 01"
"Nová","Mokroluh","086 01"
"Tolstého","Košice","040 01"
"Jaltská","Košice","040 22"
"Mlynská","Stropkov","091 01"
"Nepomuckého","Markušovce","053 21"
"Belehradská","Košice","040 13"
"Hviezdoslavova","Spišské Bystré","059 18"
"Komenského","Bardejov","085 01"
"Tramínová","Košice - Krásna","040 18"
"Armádneho generála Svobodu","Prešov","080 01"
"Hviezdoslavova","Smižany","053 11"
"Za Priekopou","Košice - Myslava","040 16"
"sídlisko Poľana","Humenné","066 01"
"Veľká Ida","Veľká Ida","044 55"
"Exnárova","Prešov","080 01"
"Jarná","Poproč","044 24"
"Nálepková","Smižany","053 11"
"Trieda SNP","Košice - Západ","040 11"
"Seniakovce","Prešov","082 03"
"Ovručská","Košice","040 22"
"Jakobyho","Košice","040 01"
"Jelšová","Košice - Vyšné Opátske","040 01"
"Stará","Hriadky","076 22"
"Dlhá","Margecany","055 01"
"Bidovce","Bidovce","044 45"
"Záhradná","Spišské Vlachy","053 61"
"Němcovej","Košice - Sever","040 01"
"Milhostov","Trebišov","075 01"
"Šafárikova trieda","Košice - Západ","040 11"
"Šarišské Bohdanovce","Šarišské Bohdanovce","082 05"
"Haviarska","Košice","040 01"
"Kalinovská","Košice","040 22"
"Rožňavská","Košice","040 11"
"Starozagorská","Košice","040 23"
"Idanská","Košice","040 11"
"Bzovík","Bzovík","040 00"
"Postupimská","Košice- Dargovských hrdinov","040 22"
"Idanská","Košice - Západ","040 11"
"Trieda SNP","Košice","040 11"
"Turgenevova","Košice","040 01"
"Hokovce","Hokovce","935 84"
"Slobody","Košice","040 11"
"Na Záhumní","Dvorianky","076 62"
"Užhorodská","Košice - Juh","040 01"
"Titogradská","Košice","040 23"
"Hlavná","Kuzmice","076 12"
"Amurská","Košice","040 12"
"Košická Belá","Košická Belá","044 65"
"Slobody","Košice","040 11"
"Ždiarska","Košice","040 12"
"Amurská","Košice - Nad Jazerom","040 12"
"1. decembra","Trebišov","075 01"
"Letná","Košice","040 01"
"Ždiarska","Košice - Nad Jazerom","040 12"
"Milosrdenstva","Košice","040 01"
"Palackého","Košice - Juh","040 01"
"Košické Olšany","Košické Olšany","044 42"
